,CO1,CO2,CO3,CO1 R:02_0_D,CO2 R:02_0_D,CO3 R:02_0_D,.BRCOMN,.BRCOML,.BRCOMS,.BRMMN,.BRMML,.BRMMS
2019-02-04,62.51,62.58,62.66,9.64,18.34,23.55,,,,,,
2019-02-05,61.98,62.07,62.16,9.11,17.83,23.05,-596024.0,712971.0,1308995.0,80352.0,403498.0,323146.0
2019-02-06,62.69,62.74,62.79,9.82,18.5,23.68,,,,,,
2019-02-07,61.63,61.63,61.66,8.76,17.39,22.55,,,,,,
2019-02-08,62.1,62.03,62.02,9.23,17.79,22.91,,,,,,
2019-02-11,61.51,61.52,61.55,8.64,17.28,22.44,,,,,,
2019-02-12,62.42,62.4,62.39,9.55,18.16,23.28,-575835.0,759051.0,1334886.0,47760.0,389632.0,341872.0
2019-02-13,63.61,63.58,63.53,10.74,19.34,24.42,,,,,,
2019-02-14,64.57,64.52,64.41,11.7,20.28,25.3,,,,,,
2019-02-15,66.25,66.22,66.12,13.38,21.98,27.01,,,,,,
2019-02-18,66.5,66.5,66.42,13.63,22.26,27.31,,,,,,
2019-02-19,66.45,66.47,66.4,13.58,22.23,27.29,-585828.0,790130.0,1375958.0,45960.0,392770.0,346810.0
2019-02-20,67.08,67.13,67.05,14.21,22.89,27.94,,,,,,
2019-02-21,67.07,67.19,67.12,14.2,22.95,28.01,,,,,,
2019-02-22,67.12,67.25,67.18,14.25,23.01,28.07,,,,,,
2019-02-25,64.76,64.91,64.88,11.89,20.67,25.77,,,,,,
2019-02-26,65.21,65.36,65.35,12.34,21.12,26.24,-585701.0,768342.0,1354043.0,70660.0,409572.0,338912.0
2019-02-27,66.39,66.58,66.57,13.56,22.34,27.45,,,,,,
2019-02-28,66.03,66.31,66.33,13.29,22.1,27.23,,,,,,
2019-03-01,65.07,65.11,65.03,12.05,20.88,26.03,,,,,,
2019-03-04,65.67,65.74,65.69,12.65,21.51,26.69,,,,,,
2019-03-05,65.86,65.92,65.86,12.84,21.69,26.86,-605943.0,785831.0,1391774.0,74172.0,404408.0,330236.0
2019-03-06,65.99,65.97,65.87,12.97,21.74,26.87,,,,,,
2019-03-07,66.3,66.26,66.16,13.28,22.03,27.16,,,,,,
2019-03-08,65.74,65.66,65.56,12.72,21.43,26.56,,,,,,
2019-03-11,66.58,66.48,66.34,13.56,22.25,27.34,,,,,,
2019-03-12,66.67,66.58,66.43,13.65,22.35,27.43,-614507.0,881828.0,1496335.0,88886.0,418455.0,329569.0
2019-03-13,67.55,67.46,67.31,14.53,23.23,28.31,,,,,,
2019-03-14,67.23,67.13,66.96,14.21,22.9,27.96,,,,,,
2019-03-15,67.16,67.04,66.86,14.14,22.81,27.86,,,,,,
2019-03-18,67.54,67.36,67.13,14.52,23.13,28.13,,,,,,
2019-03-19,67.61,67.42,67.19,14.59,23.19,28.19,-616562.0,906795.0,1523357.0,112834.0,423776.0,310942.0
2019-03-20,68.5,68.27,68.0,15.48,24.04,29.0,,,,,,
2019-03-21,67.86,67.67,67.43,14.84,23.44,28.43,,,,,,
2019-03-22,67.03,66.75,66.49,14.01,22.52,27.49,,,,,,
2019-03-25,67.21,66.81,66.54,14.19,22.58,27.54,,,,,,
2019-03-26,67.97,67.43,67.1,14.95,23.2,28.1,-636484.0,869132.0,1505616.0,137641.0,440940.0,303299.0
2019-03-27,67.83,67.24,66.87,14.81,23.01,27.87,,,,,,
2019-03-28,67.82,67.1,66.74,14.67,22.88,27.72,,,,,,
2019-03-29,68.39,67.58,67.21,15.15,23.35,28.19,,,,,,
2019-04-01,69.01,68.59,68.27,16.58,24.73,29.52,,,,,,
