,XB1 Comdty ,XB2 Comdty ,XB3 Comdty ,S:XBXB 1-2 Comdty
10/16/19,55067,54719,18727,23729
10/17/19,59659,60422,22367,28232
10/18/19,51781,53770,20262,23421
10/21/19,27452,51804,14220,13521
10/22/19,32039,68124,24743,17618
10/23/19,28014,76595,27185,15622
10/24/19,24574,62320,22707,13741
10/25/19,30398,61138,21751,16520
10/28/19,31838,67840,21781,16647
10/29/19,25528,77936,35730,14059
10/30/19,27228,92135,46811,14208
10/31/19,8472,82548,52659,5943
11/1/19,72064,41568,14416,19461
11/4/19,76860,46852,18679,23805
11/5/19,58858,43456,16655,19913
11/6/19,78653,52201,20962,26269
11/7/19,78250,64088,23420,30587
11/8/19,74947,52847,18577,23247
11/11/19,73180,61220,25805,29909
11/12/19,69804,60265,19386,29306
11/13/19,72974,63531,19926,32434
11/14/19,60389,59546,25833,23013
11/15/19,53089,47501,13770,18317
11/18/19,49366,50812,15441,19562
11/19/19,37686,70016,22950,20741
11/20/19,31418,78958,31168,14632
11/21/19,26397,75409,27560,12709
11/22/19,39614,87835,31191,19510
11/25/19,37446,86377,33541,18696
11/26/19,28961,75463,30940,14479
11/27/19,26522,86874,32962,12485
11/29/19,4324,75077,37089,3996
12/2/19,91350,50238,28979,24536
12/3/19,80544,42974,26701,19295
12/4/19,72798,43533,27617,16177
12/5/19,62255,39284,23012,15572
12/6/19,78258,46258,23598,20909
12/9/19,84182,51045,31969,25068
12/10/19,65568,45264,24162,21383
12/11/19,70560,54846,29797,25272
12/12/19,58111,43443,26454,18572
12/13/19,61653,44208,25265,18732
12/16/19,53766,44746,18676,22493
12/17/19,46756,50805,19684,19862
12/18/19,52206,70577,28179,30193
12/19/19,31172,63306,27588,18117
12/20/19,30962,58776,24850,14562
12/23/19,27365,53494,19555,12554
12/24/19,13781,36859,16306,7518
12/26/19,20355,45653,19732,10238
12/27/19,21510,59406,27377,11654
12/30/19,19900,63012,30739,9944
12/31/19,4422,52133,28996,3566
1/2/20,66718,45676,19787,23709
1/3/20,73336,50879,22134,22530
1/6/20,57283,37562,21857,15001
1/7/20,64447,49817,31573,21370
1/8/20,101333,76432,44017,34561
1/9/20,67641,57069,23999,24783
1/10/20,71131,64979,31947,27187
1/13/20,73957,60852,30018,30492
1/14/20,81817,81738,39681,37124
1/15/20,72693,71291,33209,34675
1/16/20,60548,56612,26536,26142
1/17/20,60316,74249,30972,27705
1/21/20,46844,95054,38936,24112
1/22/20,33847,87696,37494,16572
1/23/20,30945,86310,39374,16907
1/24/20,32730,99919,44853,18001
1/27/20,31327,107219,47040,18453
1/28/20,27994,97531,43486,15685
1/29/20,17516,96217,53260,10592
1/30/20,15788,88055,58607,7521
1/31/20,6011,96285,70987,4113
2/3/20,79303,47191,21679,22644
2/4/20,90751,60546,28763,27950
2/5/20,87825,56451,27288,26526
2/6/20,73453,51448,18381,24386
2/7/20,139485,124978,44149,67855
2/10/20,111710,99192,49687,49084
2/11/20,79888,67610,32917,34279
2/12/20,81682,82686,37075,37863
2/13/20,96395,101398,45137,46175
2/14/20,76379,78368,35905,35764
2/18/20,62358,99334,37920,36507
2/19/20,53935,104215,43438,36499
2/20/20,41339,88714,35597,24780
2/21/20,42511,89981,37406,25621
2/24/20,29972,76302,35238,15362
2/25/20,32095,88446,38441,16173
2/26/20,21746,118967,73332,11418
2/27/20,19730,100627,57478,10519
2/28/20,5290,88081,53268,3666
3/2/20,88399,61984,35789,27289
3/3/20,80055,50898,35337,21545
3/4/20,71159,55406,36622,22250
3/5/20,85300,58505,34533,31002
3/6/20,85241,65240,36900,24455
3/9/20,84404,69199,49232,24983
3/10/20,92862,80249,55941,30198
3/11/20,82506,75828,53384,30304
3/12/20,107453,101382,77996,38171
3/13/20,75414,69250,56109,22483
3/16/20,62648,62524,51475,19355
3/17/20,51380,60659,44999,18412
3/18/20,41528,71699,46704,19555
3/19/20,31731,56159,32599,13601
3/20/20,31508,65741,33573,16828
3/23/20,38756,86884,45449,21845
3/24/20,30716,89557,45625,13060
3/25/20,25254,78417,42245,10017
3/26/20,18376,62514,33684,6703
3/27/20,15282,62019,35401,6084
3/30/20,11721,63243,39383,4868
3/31/20,4487,63350,38548,2335
4/1/20,68785,49224,29407,22469
4/2/20,61896,47388,24857,18909
4/3/20,50274,35214,24605,12255
4/6/20,45409,31069,16458,13913
4/7/20,57733,40906,22751,14946
4/8/20,57689,44414,25277,17947
4/9/20,55776,40842,23934,16231
4/13/20,36319,27224,15335,11641
4/14/20,52095,51285,26157,19328
4/15/20,46308,47527,24063,17860
4/16/20,53290,60844,29316,23951
4/17/20,37023,47561,24347,16424
4/20/20,32385,59160,30061,16760
4/21/20,55808,105729,48027,30805
4/22/20,44883,88021,36966,26312
4/23/20,28628,75365,40659,16568
4/24/20,26308,63020,34740,11855
4/27/20,17430,48653,25011,6843
4/28/20,16742,55684,28002,8039
4/29/20,13444,55062,30588,7065
4/30/20,4870,79165,52964,3180
5/1/20,54026,33906,15448,15332
5/4/20,55230,38889,19548,17284
5/5/20,61282,41676,21365,20159
5/6/20,58321,39714,22544,17387
5/7/20,63331,48780,26545,19986
5/8/20,51026,39095,18808,18708
5/11/20,51869,45600,21071,22904
5/12/20,48718,42469,19206,19139
5/13/20,62273,63734,32343,28230
5/14/20,51178,52813,26128,23670
5/15/20,47999,53526,23589,22316
5/18/20,37927,49539,22499,17973
5/19/20,34710,50911,21028,14781
5/20/20,26272,56952,25224,12047
5/21/20,28297,51525,23031,13963
5/22/20,30456,55639,19954,16696
5/26/20,25442,61810,26380,12081
5/27/20,18088,55533,32782,9700
5/28/20,15727,53768,32323,7157
5/29/20,3714,58121,33315,3494
6/1/20,53083,32131,20343,16149
6/2/20,52726,36430,23518,17836
6/3/20,54588,40593,22946,19671
6/4/20,42382,29072,21085,13216
6/5/20,49669,35009,22928,14885
6/8/20,59099,38667,22472,19361
6/9/20,48230,36746,24653,17110
6/10/20,58388,48411,30912,22958
6/11/20,60701,54505,35609,21959
6/12/20,53986,43858,28393,19033
6/15/20,65762,54474,26976,28161
6/16/20,49828,52871,27691,21074
6/17/20,54764,57409,31126,25995
6/18/20,53969,64820,24867,24297
6/19/20,37405,62608,28420,15383
6/22/20,20028,41450,15494,8281
6/23/20,22235,50325,26610,9057
